Cycle; TotalWork; QueueSize; WIP; TotalTeams; BusyTeams;
1644;10000;8427;1;10;1;
1645;10000;8427;1;10;1;
1646;10000;8426;1;10;1;
1647;10000;8425;2;10;2;
1648;10000;8424;1;10;1;
1649;10000;8423;1;10;1;
1650;10000;8422;1;10;1;
1651;10000;8421;2;10;2;
1652;10000;8420;1;10;1;
1653;10000;8419;1;10;1;
1654;10000;8418;2;10;2;
1655;10000;8417;1;10;1;
1656;10000;8417;1;10;1;
1657;10000;8416;1;10;1;
1658;10000;8416;1;10;1;
1659;10000;8415;1;10;1;
1660;10000;8414;1;10;1;
1661;10000;8413;1;10;1;
1662;10000;8412;1;10;1;
1663;10000;8412;1;10;1;
1664;10000;8411;1;10;1;
1665;10000;8410;1;10;1;
1666;10000;8409;1;10;1;
1667;10000;8409;1;10;1;
1668;10000;8408;1;10;1;
1669;10000;8407;2;10;2;
1670;10000;8406;1;10;1;
1671;10000;8405;2;10;2;
1672;10000;8405;1;10;1;
1673;10000;8404;1;10;1;
1674;10000;8403;1;10;1;
1675;10000;8402;2;10;2;
1676;10000;8401;2;10;2;
1677;10000;8400;2;10;2;
1678;10000;8399;2;10;2;
1679;10000;8398;2;10;2;
1680;10000;8397;1;10;1;
1681;10000;8396;1;10;1;
1682;10000;8395;1;10;1;
1683;10000;8394;1;10;1;
1684;10000;8393;2;10;2;
1685;10000;8392;1;10;1;
1686;10000;8391;1;10;1;
1687;10000;8390;2;10;2;
1688;10000;8389;1;10;1;
1689;10000;8389;1;10;1;
1690;10000;8388;1;10;1;
1691;10000;8388;1;10;1;
1692;10000;8387;1;10;1;
1693;10000;8386;1;10;1;
1694;10000;8385;1;10;1;
1695;10000;8384;1;10;1;
1696;10000;8383;2;10;2;
1697;10000;8382;1;10;1;
1698;10000;8381;2;10;2;
1699;10000;8380;2;10;2;
1700;10000;8379;2;10;2;
1701;10000;8378;2;10;2;
1702;10000;8377;2;10;2;
1703;10000;8376;2;10;2;
1704;10000;8375;1;10;1;
1705;10000;8374;2;10;2;
1706;10000;8373;1;10;1;
1707;10000;8372;1;10;1;
1708;10000;8371;1;10;1;
1709;10000;8370;2;10;2;
1710;10000;8369;2;10;2;
1711;10000;8368;2;10;2;
1712;10000;8367;2;10;2;
1713;10000;8366;2;10;2;
1714;10000;8365;1;10;1;
1715;10000;8364;1;10;1;
1716;10000;8363;2;10;2;
1717;10000;8362;1;10;1;
1718;10000;8361;1;10;1;
1719;10000;8360;1;10;1;
1720;10000;8359;1;10;1;
1721;10000;8358;2;10;2;
1722;10000;8357;2;10;2;
1723;10000;8356;2;10;2;
1724;10000;8355;2;10;2;
1725;10000;8354;2;10;2;
1726;10000;8353;1;10;1;
1727;10000;8352;2;10;2;
1728;10000;8351;1;10;1;
1729;10000;8350;1;10;1;
1730;10000;8349;1;10;1;
1731;10000;8348;2;10;2;
1732;10000;8347;2;10;2;
1733;10000;8346;2;10;2;
1734;10000;8345;2;10;2;
1735;10000;8344;2;10;2;
1736;10000;8343;1;10;1;
1737;10000;8342;1;10;1;
1738;10000;8341;1;10;1;
1739;10000;8340;2;10;2;
1740;10000;8339;2;10;2;
1741;10000;8338;2;10;2;
1742;10000;8337;1;10;1;
1743;10000;8337;1;10;1;
1744;10000;8336;1;10;1;
1745;10000;8335;2;10;2;
1746;10000;8334;1;10;1;
1747;10000;8333;1;10;1;
1748;10000;8332;2;10;2;
1749;10000;8331;1;10;1;
1750;10000;8330;2;10;2;
1751;10000;8329;2;10;2;
1752;10000;8328;2;10;2;
1753;10000;8327;1;10;1;
1754;10000;8326;2;10;2;
1755;10000;8325;1;10;1;
1756;10000;8324;2;10;2;
1757;10000;8323;2;10;2;
1758;10000;8322;1;10;1;
1759;10000;8321;2;10;2;
1760;10000;8320;2;10;2;
1761;10000;8319;1;10;1;
1762;10000;8318;1;10;1;
